data,valor
01/01/2000,0.61
01/01/2001,0.77
01/01/2002,1.07
01/01/2003,2.47
01/01/2004,0.83
01/01/2005,0.57
01/01/2006,0.38
01/01/2007,0.49
01/01/2008,0.69
01/01/2009,0.64
01/01/2010,0.88
01/01/2011,0.94
01/01/2012,0.51
01/01/2013,0.92
01/01/2014,0.63
01/01/2015,1.48
01/01/2016,1.51
01/01/2017,0.42
01/01/2018,0.23
01/01/2019,0.36
01/01/2020,0.19
01/01/2021,0.27
01/01/2022,0.67
01/01/2023,0.46
01/01/2024,0.57
01/01/2025,0.00
01/01/2026,0.39
01/02/2000,0.05
01/02/2001,0.49
01/02/2002,0.31
01/02/2003,1.46
01/02/2004,0.39
01/02/2005,0.44
01/02/2006,0.23
01/02/2007,0.42
01/02/2008,0.48
01/02/2009,0.31
01/02/2010,0.70
01/02/2011,0.54
01/02/2012,0.39
01/02/2013,0.52
01/02/2014,0.64
01/02/2015,1.16
01/02/2016,0.95
01/02/2017,0.24
01/02/2018,0.18
01/02/2019,0.54
01/02/2020,0.17
01/02/2021,0.82
01/02/2022,1.00
01/02/2023,0.77
01/02/2024,0.81
01/02/2025,1.48
01/03/2000,0.13
01/03/2001,0.48
01/03/2002,0.62
01/03/2003,1.37
01/03/2004,0.57
01/03/2005,0.73
01/03/2006,0.27
01/03/2007,0.44
01/03/2008,0.51
01/03/2009,0.20
01/03/2010,0.71
01/03/2011,0.66
01/03/2012,0.18
01/03/2013,0.60
01/03/2014,0.82
01/03/2015,1.51
01/03/2016,0.44
01/03/2017,0.32
01/03/2018,0.07
01/03/2019,0.77
01/03/2020,0.18
01/03/2021,0.86
01/03/2022,1.71
01/03/2023,0.64
01/03/2024,0.19
01/03/2025,0.51
01/04/2000,0.09
01/04/2001,0.84
01/04/2002,0.68
01/04/2003,1.38
01/04/2004,0.41
01/04/2005,0.91
01/04/2006,0.12
01/04/2007,0.26
01/04/2008,0.64
01/04/2009,0.55
01/04/2010,0.73
01/04/2011,0.72
01/04/2012,0.64
01/04/2013,0.59
01/04/2014,0.78
01/04/2015,0.71
01/04/2016,0.64
01/04/2017,0.08
01/04/2018,0.21
01/04/2019,0.60
01/04/2020,-0.23
01/04/2021,0.38
01/04/2022,1.04
01/04/2023,0.53
01/04/2024,0.37
01/04/2025,0.48
01/05/2000,-0.05
01/05/2001,0.57
01/05/2002,0.09
01/05/2003,0.99
01/05/2004,0.40
01/05/2005,0.70
01/05/2006,0.13
01/05/2007,0.26
01/05/2008,0.96
01/05/2009,0.60
01/05/2010,0.43
01/05/2011,0.57
01/05/2012,0.55
01/05/2013,0.35
01/05/2014,0.60
01/05/2015,0.99
01/05/2016,0.98
01/05/2017,0.36
01/05/2018,0.43
01/05/2019,0.15
01/05/2020,-0.25
01/05/2021,0.96
01/05/2022,0.45
01/05/2023,0.36
01/05/2024,0.46
01/05/2025,0.35
01/06/2000,0.30
01/06/2001,0.60
01/06/2002,0.61
01/06/2003,-0.06
01/06/2004,0.50
01/06/2005,-0.11
01/06/2006,-0.07
01/06/2007,0.31
01/06/2008,0.91
01/06/2009,0.42
01/06/2010,-0.11
01/06/2011,0.22
01/06/2012,0.26
01/06/2013,0.28
01/06/2014,0.26
01/06/2015,0.77
01/06/2016,0.47
01/06/2017,-0.30
01/06/2018,1.43
01/06/2019,0.01
01/06/2020,0.30
01/06/2021,0.60
01/06/2022,0.62
01/06/2023,-0.10
01/06/2024,0.25
01/06/2025,0.23
01/07/2000,1.39
01/07/2001,1.11
01/07/2002,1.15
01/07/2003,0.04
01/07/2004,0.73
01/07/2005,0.03
01/07/2006,0.11
01/07/2007,0.32
01/07/2008,0.58
01/07/2009,0.23
01/07/2010,-0.07
01/07/2011,0.00
01/07/2012,0.43
01/07/2013,-0.13
01/07/2014,0.13
01/07/2015,0.58
01/07/2016,0.64
01/07/2017,0.17
01/07/2018,0.25
01/07/2019,0.10
01/07/2020,0.44
01/07/2021,1.02
01/07/2022,-0.60
01/07/2023,-0.09
01/07/2024,0.26
01/07/2025,0.21
01/08/2000,1.21
01/08/2001,0.79
01/08/2002,0.86
01/08/2003,0.18
01/08/2004,0.50
01/08/2005,0.00
01/08/2006,-0.02
01/08/2007,0.59
01/08/2008,0.21
01/08/2009,0.08
01/08/2010,-0.07
01/08/2011,0.42
01/08/2012,0.45
01/08/2013,0.16
01/08/2014,0.18
01/08/2015,0.25
01/08/2016,0.31
01/08/2017,-0.03
01/08/2018,0.00
01/08/2019,0.12
01/08/2020,0.36
01/08/2021,0.88
01/08/2022,-0.31
01/08/2023,0.20
01/08/2024,-0.14
01/08/2025,-0.21
01/09/2000,0.43
01/09/2001,0.44
01/09/2002,0.83
01/09/2003,0.82
01/09/2004,0.17
01/09/2005,0.15
01/09/2006,0.16
01/09/2007,0.25
01/09/2008,0.15
01/09/2009,0.16
01/09/2010,0.54
01/09/2011,0.45
01/09/2012,0.63
01/09/2013,0.27
01/09/2014,0.49
01/09/2015,0.51
01/09/2016,0.08
01/09/2017,-0.02
01/09/2018,0.30
01/09/2019,-0.05
01/09/2020,0.87
01/09/2021,1.20
01/09/2022,-0.32
01/09/2023,0.11
01/09/2024,0.48
01/09/2025,0.52
01/10/2000,0.16
01/10/2001,0.94
01/10/2002,1.57
01/10/2003,0.39
