date,P,P_incc,J,L_credito,L,D
2012-12-31,100.0,0.16,1.22,1291867.0,1291867.0,5.420219543315061
2013-01-31,101.22110948,0.65,1.27,1277890.0,1277890.0,5.452646918666471
2013-02-28,102.2003338,0.6,1.28,1288822.0,1288822.0,5.427284103517182
2013-03-31,103.36531243,0.5,1.27,1319047.0,1319047.0,5.357160513333567
2013-04-30,104.51697525,0.74,1.27,1324301.0,1324301.0,5.344970956912568
2013-05-31,105.68386411,2.25,1.27,1343310.0,1343310.0,5.300869076819918
2013-06-30,106.84059275,1.15,1.3,1371462.0,1371462.0,5.235554955700014
2013-07-31,108.02224138,0.48,1.31,1371133.0,1371133.0,5.236318253009208
2013-08-31,108.82441516,0.31,1.38,1387379.0,1387379.0,5.198626678282227
2013-09-30,109.79449897,0.43,1.4,1394720.0,1394720.0,5.181595172060956
2013-10-31,110.8308891,0.26,1.39,1391759.0,1391759.0,5.188464847843708
2013-11-30,112.81232561,0.35,1.39,1418888.0,1418888.0,5.125524140545402
2013-12-31,114.2968399,0.1,1.42,1461999.0,1461999.0,5.025504352409561
2014-01-31,116.13322419,0.88,1.47,1450143.0,1450143.0,5.053010896171908
2014-02-28,117.50360446,0.33,1.51,1455446.0,1455446.0,5.040707657172943
2014-03-31,118.90034472,0.28,1.48,1470686.0,1470686.0,5.005350055373166
2014-04-30,119.40059467,0.88,1.49,1477149.0,1477149.0,4.990355555344821
2014-05-31,119.5583583,2.05,1.47,1486831.0,1486831.0,4.967892805959949
2014-06-30,119.62745333,0.66,1.47,1499849.0,1499849.0,4.937690361063
2014-07-31,120.90208767,0.75,1.52,1497784.0,1497784.0,4.942481269705818
2014-08-31,122.32248026,0.08,1.48,1509536.0,1509536.0,4.91521601141507
2014-09-30,124.09684432,0.15,1.51,1535565.0,1535565.0,4.854827361989452
2014-10-31,125.10607213,0.17,1.49,1541066.0,1541066.0,4.842064752573403
2014-11-30,126.19612145,0.44,1.54,1566044.0,1566044.0,4.784114478442508
2014-12-31,126.49879435,0.08,1.5,1601391.0,1601391.0,4.702107578782616
2015-01-31,126.86833781,0.92,1.57,1591349.0,1591349.0,4.72540554710764
2015-02-28,127.56210668,0.31,1.6,1599734.0,1599734.0,4.705951905959928
2015-03-31,128.43352463,0.62,1.59,1625477.0,1625477.0,4.646226791581209
2015-04-30,129.75191504,0.46,1.6,1617486.0,1617486.0,4.664766331999977
2015-05-31,128.90924408,0.95,1.64,1630568.0,1630568.0,7.746137295970545
2015-06-30,129.28874147,1.84,1.59,1640086.0,1640086.0,7.724055035213965
2015-07-31,129.57436479,0.55,1.6,1643742.0,1643742.0,7.715572922866196
2015-08-31,129.81028625,0.59,1.62,1657395.0,1657395.0,4.572175352326267
2015-09-30,130.25235914,0.22,1.62,1681022.0,1681022.0,4.517359469273553
2015-10-31,130.50571319,0.36,1.66,1670159.0,1670159.0,4.542562200792647
2015-11-30,130.79884318,0.34,1.68,1678370.0,1678370.0,4.523512248799341
2015-12-31,130.89580791,0.1,1.67,1710914.0,1710914.0,4.44800845660958
2016-01-31,130.79907236,0.39,1.74,1686224.0,1686224.0,4.859383188718844
2016-02-29,130.76632491,0.54,1.73,1669474.0,1669474.0,5.018202106299592
2016-03-31,131.19061881,0.64,1.72,1643265.0,1643265.0,5.079008365195286
2016-04-30,131.42228624,0.55,1.71,1624448.0,1624448.0,4.768572162056031
2016-05-31,131.7745552,0.08,1.7,1624441.0,1624441.0,4.648630366086758
2016-06-30,131.84488808,1.93,1.7,1603433.0,1603433.0,4.697370031349863
2016-07-31,132.09403639,0.49,1.65,1588513.0,1588513.0,4.731985216313951
2016-08-31,132.11617342,0.29,1.64,1578740.0,1578740.0,4.754659090486473
2016-09-30,132.04199108,0.33,1.64,1571752.0,1571752.0,5.0399018378389195
2016-10-31,131.71806971,0.21,1.66,1557581.0,1557581.0,6.248174902315239
2016-11-30,131.74243173,0.16,1.67,1556307.0,1556307.0,6.2511306493423335
2016-12-31,131.8114774,0.34,1.59,1548645.0,1548645.0,5.999876672748859
2017-01-31,131.69758191,0.41,1.68,1511586.0,1511586.0,5.324468943109652
2017-02-28,131.72648129,0.65,1.62,1507526.0,1507526.0,5.33388835671248
2017-03-31,131.70165472,0.16,1.56,1505787.0,1505787.0,5.428225507550625
2017-04-30,131.81628832,-0.02,1.51,1496040.0,1496040.0,5.036830020807021
2017-05-31,131.70058131,0.63,1.46,1480996.0,1480996.0,5.492311439596558
2017-06-30,131.44321929,0.93,1.47,1485896.0,1485896.0,6.326936863046701
2017-07-31,131.0848647,0.3,1.43,1456057.0,1456057.0,7.702429966738026
2017-08-31,131.0112162,0.36,1.39,1442958.0,1442958.0,7.581437340820683
2017-09-30,130.91096131,0.06,1.37,1439429.0,1439429.0,7.019980167978778
2017-10-31,130.9252861,0.31,1.32,1432195.0,1432195.0,5.730498374754852
2017-11-30,130.92432223,0.31,1.32,1429364.0,1429364.0,5.4713982650368616
2017-12-31,131.26856007,0.07,1.29,1445115.0,1445115.0,5.068203494267252
2018-01-31,131.52890894,0.31,1.31,1410571.0,1410571.0,5.1483473916800815
2018-02-28,131.75300054,0.13,1.24,1405303.0,1405303.0,5.157042055273092
2018-03-31,132.06814836,0.24,1.2,1415763.0,1415763.0,5.132774304956446
2018-04-30,132.09662455,0.29,1.17,1414907.0,1414907.0,5.1347602699919195
2018-05-31,132.01661285,0.23,1.18,1419445.0,1419445.0,5.414445832951574
2018-06-30,131.40289537,0.97,1.23,1432717.0,1432717.0,7.611044945313952
2018-07-31,131.15453719,0.61,1.24,1420881.0,1420881.0,8.544091834930654
2018-08-31,130.87052925,0.15,1.23,1434320.0,1434320.0,9.260235909440432
2018-09-30,130.98492945,0.23,1.24,1440877.0,1440877.0,7.017632473843946
2018-10-31,130.99707836,0.35,1.23,1417390.0,1417390.0,6.16653680262446
2018-11-30,131.20997161,0.13,1.18,1427818.0,1427818.0,5.104806070724404
2018-12-31,131.26142309,0.13,1.16,1462037.0,1462037.0,5.025416190410323
2019-01-31,131.00566722,0.49,1.21,1423002.0,1423002.0,6.049545442894826
2019-02-28,131.58004227,0.09,1.17,1424211.0,1424211.0,6.046740499287481
2019-03-31,131.97148674,0.31,1.11,1436695.0,1436695.0,6.017776962485091
2019-04-30,132.09147724,0.38,1.08,1420024.0,1420024.0,5.1228885607787005
2019-05-31,131.33182578,0.03,1.09,1420549.0,1420549.0,7.877143177994918
2019-06-30,130.74078584,0.88,1.07,1419273.0,1419273.0,10.03637471354845
2019-07-31,130.5898333,0.58,1.05,1396922.0,1396922.0,10.641434905626408
2019-08-31,130.72369693,0.42,1.02,1411215.0,1411215.0,7.852801748812479
2019-09-30,130.970906,0.46,0.99,1427524.0,1427524.0,5.658692862349758
2019-10-31,131.55837504,0.18,0.98,1415578.0,1415578.0,5.133203514689581
2019-11-30,132.16253851,0.04,0.95,1435147.0,1435147.0,5.087802405134472
2019-12-31,132.29532042,0.21,0.94,1458826.0,1458826.0,5.032865879345959
2020-01-31,132.58543124,0.38,0.99,1431634.0,1431634.0,5.095952749958791
2020-02-29,132.58004409,0.33,0.95,1442009.0,1442009.0,5.091350134600826
2020-03-31,132.69534184,0.26,0.91,1534303.0,1534303.0,4.877223198871908
2020-04-30,133.16926491,0.22,0.97,1554328.0,1554328.0,4.83076414532594
2020-05-31,134.17633904,0.2,0.99,1568161.0,1568161.0,4.77920292706389
2020-06-30,135.80897703,0.34,0.95,1581817.0,1581817.0,4.747520288600782
2020-07-31,136.56742675,1.17,0.94,1609796.0,1609796.0,4.682607536582673
2020-08-31,136.55558784,0.72,0.92,1649768.0,1649768.0,4.631406053695627
2020-09-30,135.45225028,1.16,0.9,1697670.0,1697670.0,8.391558620971534
2020-10-31,135.05593974,1.73,0.92,1719393.0,1719393.0,9.743024244850083
2020-11-30,135.34470292,1.28,0.89,1751350.0,1751350.0,9.6273466634421
2020-12-31,135.78845415,0.7,0.89,1780450.0,1780450.0,5.688545404972856
2021-01-31,135.16788608,0.89,0.96,1764350.0,1764350.0,6.513726500220262
2021-02-28,133.98869634,1.89,0.92,1774313.0,1774313.0,10.670519537699729
2021-03-31,132.82473131,1.3,0.93,1809384.0,1809384.0,14.751404248999076
2021-04-30,132.76307494,0.9,1.0,1804880.0,1804880.0,12.794572015881599
2021-05-31,133.02081224,2.22,1.0,1814790.0,1814790.0,8.591672572853115
2021-06-30,133.30527673,2.16,1.02,1814263.0,1814263.0,4.4306439641409385
2021-07-31,133.59135729,0.85,1.04,1830524.0,1830524.0,4.170506963744
2021-08-31,133.99818955,0.46,1.09,1848208.0,1848208.0,4.129479153361633
2021-09-30,134.58604689,0.51,1.17,1891192.0,1891192.0,4.029754011907456
2021-10-31,134.93429207,0.86,1.24,1907849.0,1907849.0,3.9911088955571348
2021-11-30,135.15008797,0.67,1.4,1929659.0,1929659.0,3.9405085480995785
2021-12-31,135.19682894,0.35,1.39,1970605.0,1970605.0,3.8455116738677075
2022-01-31,135.39322954,0.71,1.43,1943805.0,1943805.0,3.907689083856819
2022-02-28,135.72145221,0.38,1.41,1967754.0,1967754.0,3.8521261438631913
2022-03-31,136.18781438,0.86,1.43,1990048.0,1990048.0,3.8004028909416525
2022-04-30,136.75320654,0.95,1.44,1998547.0,1998547.0,3.7806847637962253
2022-05-31,137.13300192,2.28,1.44,2008336.0,2008336.0,3.757973768781919
2022-06-30,137.5365908,2.14,1.45,2047451.0,2047451.0,3.6672249108817674
2022-07-31,137.96969269,0.86,1.46,2041622.0,2041622.0,3.680748497554399
2022-08-31,138.38559777,0.09,1.45,2058843.0,2058843.0,3.640794871531172
2022-09-30,139.07167439,0.09,1.44,2104721.0,2104721.0,3.5343554978192158
2022-10-31,139.55186131,0.12,1.43,2100060.0,2100060.0,3.545169263041576
2022-11-30,140.27165938,0.36,1.45,2121812.0,2121812.0,3.4947034786354885
2022-12-31,140.70603447,0.09,1.47,2170267.0,2170267.0,3.3822853293436097
2023-01-31,141.39367094,0.46,1.51,2143696.0,2143696.0,3.443931447284679
2023-02-28,141.72512805,0.05,1.5,2128587.0,2128587.0,3.478985122192346
