date,P,P_incc,J,L_credito,L,D
2022-01-31,100.0,0.71,1.43,1943805.0,1943805.0,
2022-02-28,100.47943612,0.38,1.41,1967754.0,1967754.0,
2022-03-31,101.24139419,0.86,1.43,1990048.0,1990048.0,
2022-04-30,101.59396252,0.95,1.44,1998547.0,1998547.0,
2022-05-31,102.03827941,2.28,1.44,2008336.0,2008336.0,
2022-06-30,102.62938436,2.14,1.45,2047451.0,2047451.0,
2022-07-31,103.14406579,0.86,1.46,2041622.0,2041622.0,
2022-08-31,103.43757814,0.09,1.45,2058843.0,2058843.0,
2022-09-30,105.02815998,0.09,1.44,2104721.0,2104721.0,
2022-10-31,107.00183002,0.12,1.43,2100060.0,2100060.0,
2022-11-30,108.89931908,0.36,1.45,2121812.0,2121812.0,
2022-12-31,109.94188352,0.09,1.47,2170267.0,2170267.0,
2023-01-31,111.5098717,0.46,1.51,2143696.0,2143696.0,
2023-02-28,112.88520391,0.05,1.5,2128587.0,2128587.0,
2023-03-31,114.45919209,0.3,1.47,2146398.0,2146398.0,
2023-04-30,115.58163451,0.14,1.45,2136652.0,2136652.0,
2023-05-31,117.23852703,0.59,1.44,2137582.0,2137582.0,
2023-06-30,118.87575004,0.71,1.39,2161384.0,2161384.0,
2023-07-31,120.52271476,0.1,1.37,2145357.0,2145357.0,
2023-08-31,121.55875863,0.17,1.34,2164354.0,2164354.0,
2023-09-30,121.50589707,0.34,1.31,2204640.0,2204640.0,
2023-10-31,120.79913587,0.2,1.32,2195088.0,2195088.0,
2023-11-30,120.83871735,0.07,1.31,2211381.0,2211381.0,
2023-12-31,121.51016031,0.31,1.27,2271990.0,2271990.0,
2024-01-31,123.06697459,0.27,1.3,2223506.0,2223506.0,
2024-02-29,123.99860427,0.13,1.27,2221893.0,2221893.0,
2024-03-31,125.03486321,0.28,1.26,2285751.0,2285751.0,
2024-04-30,125.96212359,0.52,1.25,2268846.0,2268846.0,
2024-05-31,127.17661937,0.86,1.25,2277001.0,2277001.0,
2024-06-30,128.02743083,0.71,1.27,2336157.0,2336157.0,
2024-07-31,128.97076898,0.72,1.31,2321183.0,2321183.0,
2024-08-31,130.0400041,0.7,1.31,2343924.0,2343924.0,
2024-09-30,130.84337358,0.58,1.3,2384373.0,2384373.0,
2024-10-31,132.18050613,0.68,1.32,2397484.0,2397484.0,
2024-11-30,132.78618548,0.4,1.35,2435998.0,2435998.0,
2024-12-31,134.03912924,0.5,1.4,2497213.0,2497213.0,
2025-01-31,135.50759749,0.83,1.51,2450444.0,2450444.0,
2025-02-28,137.24950903,0.4,1.53,2477987.0,2477987.0,
2025-03-31,139.03760258,0.39,1.49,2495720.0,2495720.0,
2025-04-30,139.94549844,0.52,1.48,2513816.0,2513816.0,
2025-05-31,140.46650497,0.58,1.48,2532592.0,2532592.0,
2025-06-30,140.32756019,0.69,1.46,2547706.0,2547706.0,
2025-07-31,140.19493198,0.91,1.44,2544275.0,2544275.0,
2025-08-31,140.59456345,0.52,1.44,2546082.0,2546082.0,
2025-09-30,141.29428297,0.17,1.43,2589912.0,2589912.0,
2025-10-31,142.14917077,0.3,1.47,2596177.0,2596177.0,
2025-11-30,142.5733281,0.27,1.44,2613896.0,2613896.0,
2025-12-31,142.62519371,0.21,1.42,2698990.0,2698990.0,
2026-01-31,142.30132978,0.72,,,,
