date,P,P_incc,J,L_credito,L,D
2011-12-31,100.0,0.11,1.38,1112355.0,1112355.0,5.2795987499720445
2012-01-31,100.90967285,0.89,1.45,1099064.0,1099064.0,5.3090521150478205
2012-02-29,102.32926564,0.3,1.47,1099920.0,1099920.0,5.307155186261057
2012-03-31,103.4759494,0.51,1.43,1125741.0,1125741.0,5.24993486125755
2012-04-30,105.18621395,0.75,1.44,1141731.0,1141731.0,5.214500408803886
2012-05-31,106.19050226,1.88,1.37,1161233.0,1161233.0,5.171283229832568
2012-06-30,107.31296731,0.73,1.3,1180998.0,1180998.0,5.127483232787748
2012-07-31,109.06165197,0.67,1.29,1188704.0,1188704.0,5.110406441630278
2012-08-31,111.19798359,0.26,1.3,1197310.0,1197310.0,5.091335216000745
2012-09-30,113.45351543,0.22,1.25,1218829.0,1218829.0,5.043648287773703
2012-10-31,114.94358634,0.21,1.27,1234774.0,1234774.0,5.008313557043641
2012-11-30,116.16303481,0.33,1.21,1254604.0,1254604.0,4.964369517509171
2012-12-31,117.10246251,0.16,1.22,1291867.0,1291867.0,4.881793282250828
2013-01-31,117.78913987,0.65,1.27,1277890.0,1277890.0,4.912766849601978
2013-02-28,118.39691397,0.6,1.28,1288822.0,1288822.0,4.88854111888131
2013-03-31,118.95398532,0.5,1.27,1319047.0,1319047.0,4.821561361194505
2013-04-30,120.32292952,0.74,1.27,1324301.0,1324301.0,4.809918295954258
2013-05-31,121.85449003,2.25,1.27,1343310.0,1343310.0,4.767793623865971
2013-06-30,123.47765741,1.15,1.3,1371462.0,1371462.0,4.705407713579819
2013-07-31,124.32817878,0.48,1.31,1371133.0,1371133.0,4.706136790181274
2013-08-31,124.48016906,0.31,1.38,1387379.0,1387379.0,4.670135031922222
2013-09-30,124.70223079,0.43,1.4,1394720.0,1394720.0,4.653867094745089
2013-10-31,125.32875475,0.26,1.39,1391759.0,1391759.0,4.660428784158179
2013-11-30,127.09033208,0.35,1.39,1418888.0,1418888.0,4.6003098810552725
2013-12-31,128.88867451,0.1,1.42,1461999.0,1461999.0,4.50477425380512
2014-01-31,130.25586527,0.88,1.47,1450143.0,1450143.0,4.531047603917106
2014-02-28,131.32105337,0.33,1.51,1455446.0,1455446.0,4.5192959528000465
2014-03-31,132.49657233,0.28,1.48,1470686.0,1470686.0,4.4855235290731015
2014-04-30,133.50551912,0.88,1.49,1477149.0,1477149.0,4.4712012735253825
2014-05-31,133.90944943,2.05,1.47,1486831.0,1486831.0,4.449745590682582
2014-06-30,134.46301663,0.66,1.47,1499849.0,1499849.0,4.420897204063332
2014-07-31,135.04500782,0.75,1.52,1497784.0,1497784.0,4.425473323157567
2014-08-31,136.36350387,0.08,1.48,1509536.0,1509536.0,4.39943044102902
2014-09-30,137.44153098,0.15,1.51,1535565.0,1535565.0,4.3417491800586365
2014-10-31,138.9975338,0.17,1.49,1541066.0,1541066.0,4.3295587533577224
2014-11-30,140.07004851,0.44,1.54,1566044.0,1566044.0,4.274206548643049
2014-12-31,140.45259438,0.08,1.5,1601391.0,1601391.0,4.195876242771899
2015-01-31,140.365529,0.92,1.57,1591349.0,1591349.0,4.440708660973522
2015-02-28,139.22145407,0.31,1.6,1599734.0,1599734.0,7.348720520659327
2015-03-31,137.8626035,0.62,1.59,1625477.0,1625477.0,10.79623638386904
2015-04-30,137.95798064,0.46,1.6,1617486.0,1617486.0,10.591365784372666
2015-05-31,137.6559852,0.95,1.64,1630568.0,1630568.0,8.421781123405701
2015-06-30,137.19699936,1.84,1.59,1640086.0,1640086.0,6.093341682425375
2015-07-31,137.02682207,0.55,1.6,1643742.0,1643742.0,6.530614367293538
2015-08-31,136.92883614,0.59,1.62,1657395.0,1657395.0,5.971119397329379
