date,P,P_incc,J,L_credito,L,D
2008-01-31,59.76863044,0.38,0.04682128571428572,513560.0,513560.0,
2008-02-29,59.98116743,0.4,0.045843375,522260.0,522260.0,
2008-03-31,60.36249245,0.66,0.04624244444444445,544862.0,544862.0,
2008-04-30,60.89310324,0.87,0.04594644444444444,557409.0,557409.0,
2008-05-31,61.4475638,2.02,0.047030142857142854,572822.0,572822.0,
2008-06-30,62.11881598,1.92,0.046154428571428575,587334.0,587334.0,
2008-07-31,62.66844857,1.46,0.04524955555555556,598386.0,598386.0,
2008-08-31,62.98472038,1.18,0.045934333333333334,615495.0,615495.0,
2008-09-30,63.60836734,0.95,0.046087499999999997,646485.0,646485.0,
2008-10-31,64.53469146,0.77,0.04644355555555555,668184.0,668184.0,
2008-11-30,65.75137571,0.5,0.0460057,688358.0,688358.0,
2008-12-31,66.77565828,0.17,0.046738,699775.0,699775.0,
2009-01-31,67.59468112,0.33,0.035661,698197.0,698197.0,
2009-02-28,68.43110202,0.27,0.03993911111111111,698600.0,698600.0,
2009-03-31,69.18292967,-0.25,0.03794677777777778,705416.0,705416.0,
2009-04-30,69.92424088,-0.04,0.0378935,703231.0,703231.0,
2009-05-31,70.69597973,1.39,0.0401305,703135.0,703135.0,
2009-06-30,71.52481671,0.7,0.03993522222222222,709695.0,709695.0,
2009-07-31,72.71125157,0.26,0.037827,734148.0,734148.0,
2009-08-31,74.14565939,-0.05,0.037899375,744780.0,744780.0,
2009-09-30,75.76542422,0.15,0.0392344,753080.0,753080.0,
2009-10-31,77.27264796,0.06,0.0374365,763694.0,763694.0,
2009-11-30,79.23196728,0.29,0.03782028571428571,777239.0,777239.0,
2009-12-31,81.05888377,0.1,0.039877142857142854,793960.0,793960.0,
2010-01-31,82.79647498,0.64,0.03707288888888889,794589.0,794589.0,
2010-02-28,84.36310343,0.36,0.03721800000000001,799320.0,799320.0,
2010-03-31,86.27556589,0.75,0.03747471428571429,803921.0,803921.0,
2010-04-30,88.64124435,0.84,0.036338,810261.0,810261.0,
2010-05-31,91.07353865,1.81,0.036264444444444446,827703.0,827703.0,
2010-06-30,93.86369509,1.09,0.037591125,850742.0,850742.0,
2010-07-31,96.83490931,0.44,0.03656857142857143,856268.0,856268.0,
2010-08-31,100.0,0.14,0.0366583,876241.0,876241.0,
2010-09-30,103.08158559,0.21,0.03707288888888889,894120.0,894120.0,
2010-10-31,106.23436435,0.2,0.037586625,910493.0,910493.0,
2010-11-30,109.89343349,0.37,0.036677125,927066.0,927066.0,
2010-12-31,113.17888472,0.67,0.035772125,936912.0,936912.0,
2011-01-31,116.34400865,0.41,0.04368411111111111,933467.0,933467.0,
2011-02-28,119.55793815,0.28,0.043664,947964.0,947964.0,
2011-03-31,123.33691638,0.43,1.61,958884.0,958884.0,
2011-04-30,127.41176711,1.06,1.63,971825.0,971825.0,
2011-05-31,131.26533742,2.94,1.61,986470.0,986470.0,
2011-06-30,135.20805612,0.37,1.59,1002021.0,1002021.0,
2011-07-31,138.77027482,0.45,1.6,1012580.0,1012580.0,
2011-08-31,142.20735418,0.13,1.58,1025674.0,1025674.0,
2011-09-30,145.70123638,0.14,1.54,1053850.0,1053850.0,
2011-10-31,148.50343133,0.23,1.56,1056671.0,1056671.0,
2011-11-30,151.0185333,0.72,1.47,1080026.0,1080026.0,
2011-12-31,152.6743956,0.11,1.38,1112355.0,1112355.0,
2012-01-31,154.63697017,0.89,1.45,1099064.0,1099064.0,
2012-02-29,156.63445994,0.3,1.47,1099920.0,1099920.0,
2012-03-31,158.86243554,0.51,1.43,1125741.0,1125741.0,
2012-04-30,161.13294827,0.75,1.44,1141731.0,1141731.0,
2012-05-31,162.84525678,1.88,1.37,1161233.0,1161233.0,
2012-06-30,164.49913024,0.73,1.3,1180998.0,1180998.0,
2012-07-31,166.25891408,0.67,1.29,1188704.0,1188704.0,
2012-08-31,168.32050773,0.26,1.3,1197310.0,1197310.0,
2012-09-30,170.31272622,0.22,1.25,1218829.0,1218829.0,
2012-10-31,172.23180932,0.21,1.27,1234774.0,1234774.0,
