date,P,P_incc,J,L_credito,L,D
2018-01-31,100.0,0.31,1.31,1410571.0,1410571.0,5.103555327759178
2018-02-28,100.1612288,0.13,1.24,1405303.0,1405303.0,5.115118128638946
2018-03-31,100.57269987,0.24,1.2,1415763.0,1415763.0,5.092159340255807
2018-04-30,100.98165524,0.29,1.17,1414907.0,1414907.0,5.094038185653127
2018-05-31,101.94651858,0.23,1.18,1419445.0,1419445.0,5.084077671151914
2018-06-30,102.58028881,0.97,1.23,1432717.0,1432717.0,5.054946787842065
2018-07-31,103.26219283,0.61,1.24,1420881.0,1420881.0,5.080925776303139
2018-08-31,103.40321968,0.15,1.23,1434320.0,1434320.0,5.0514283425477835
2018-09-30,103.90549117,0.23,1.24,1440877.0,1440877.0,5.037036299007799
2018-10-31,103.86889216,0.35,1.23,1417390.0,1417390.0,5.160470998268027
2018-11-30,104.36372036,0.13,1.18,1427818.0,1427818.0,5.137582447096001
2018-12-31,104.59843988,0.13,1.16,1462037.0,1462037.0,5.062474724372994
2019-01-31,105.25396087,0.49,1.21,1423002.0,1423002.0,5.076270366153938
2019-02-28,104.84832289,0.09,1.17,1424211.0,1424211.0,5.860108513085754
2019-03-31,104.85211614,0.31,1.11,1436695.0,1436695.0,5.832707221099605
2019-04-30,105.17817458,0.38,1.08,1420024.0,1420024.0,5.869298613177552
2019-05-31,106.3111503,0.03,1.09,1420549.0,1420549.0,5.081654487368454
2019-06-30,106.42964868,0.88,1.07,1419273.0,1419273.0,5.084455196161656
2019-07-31,105.99267769,0.58,1.05,1396922.0,1396922.0,5.971397912142943
2019-08-31,105.94853987,0.42,1.02,1411215.0,1411215.0,6.025008434012982
2019-09-30,105.98731136,0.46,0.99,1427524.0,1427524.0,5.9892116003857705
2019-10-31,107.53943634,0.18,0.98,1415578.0,1415578.0,5.177547810329583
2019-11-30,108.18132449,0.04,0.95,1435147.0,1435147.0,5.0496131496230365
2019-12-31,109.51608523,0.21,0.94,1458826.0,1458826.0,4.997639808310956
2020-01-31,108.32712888,0.38,0.99,1431634.0,1431634.0,7.2728763162484995
2020-02-29,107.78502498,0.33,0.95,1442009.0,1442009.0,8.271371175170223
2020-03-31,107.54441168,0.26,0.91,1534303.0,1534303.0,8.524364013821353
2020-04-30,107.74689848,0.22,0.97,1554328.0,1554328.0,6.2648584462606705
2020-05-31,110.85990103,0.2,0.99,1568161.0,1568161.0,5.213229137130626
2020-06-30,111.15305227,0.34,0.95,1581817.0,1581817.0,4.727685282304195
2020-07-31,111.50457992,1.17,0.94,1609796.0,1609796.0,4.666273815748568
2020-08-31,109.959842,0.72,0.92,1649768.0,1649768.0,7.405736177481719
2020-09-30,111.07328119,1.16,0.9,1697670.0,1697670.0,7.300595462268608
2020-10-31,111.02564847,1.73,0.92,1719393.0,1719393.0,7.340431844989292
2020-11-30,110.10532106,1.28,0.89,1751350.0,1751350.0,6.134751564778664
2020-12-31,109.43289426,0.7,0.89,1780450.0,1780450.0,7.31720297581206
2021-01-31,110.55530366,0.89,0.96,1764350.0,1764350.0,7.265024598150802
2021-02-28,111.50138564,1.89,0.92,1774313.0,1774313.0,5.551496713734198
2021-03-31,111.90261038,1.3,0.93,1809384.0,1809384.0,4.228195550374374
2021-04-30,111.92316833,0.9,1.0,1804880.0,1804880.0,4.238081437838778
2021-05-31,112.42617504,2.22,1.0,1814790.0,1814790.0,4.216329851521673
2021-06-30,113.24441066,2.16,1.02,1814263.0,1814263.0,4.217486570592219
2021-07-31,114.27391293,0.85,1.04,1830524.0,1830524.0,4.18179509278168
2021-08-31,114.95931467,0.46,1.09,1848208.0,1848208.0,4.142980253989382
2021-09-30,115.84802877,0.51,1.17,1891192.0,1891192.0,4.0486341201594715
2021-10-31,115.76609728,0.86,1.24,1907849.0,1907849.0,4.156403332811463
2021-11-30,116.01337575,0.67,1.4,1929659.0,1929659.0,4.108532283611054
2021-12-31,115.74036155,0.35,1.39,1970605.0,1970605.0,4.498913620005726
2022-01-31,116.09486713,0.71,1.43,1943805.0,1943805.0,4.413407408364268
2022-02-28,115.7037641,0.38,1.41,1967754.0,1967754.0,5.0483406380135145
2022-03-31,116.13936086,0.86,1.43,1990048.0,1990048.0,4.519153013153284
2022-04-30,115.75700519,0.95,1.44,1998547.0,1998547.0,5.172363633299339
2022-05-31,116.0265139,2.28,1.44,2008336.0,2008336.0,4.463378434006653
2022-06-30,116.87862645,2.14,1.45,2047451.0,2047451.0,4.3775244179830874
2022-07-31,118.69240818,0.86,1.46,2041622.0,2041622.0,3.718453380534644
2022-08-31,120.45090097,0.09,1.45,2058843.0,2058843.0,3.6806547863906625
2022-09-30,120.83042689,0.09,1.44,2104721.0,2104721.0,3.5799565747805593
2022-10-31,121.16429147,0.12,1.43,2100060.0,2100060.0,3.590187063561995
2022-11-30,120.48347638,0.36,1.45,2121812.0,2121812.0,4.6891400118781705
2022-12-31,120.03577224,0.09,1.47,2170267.0,2170267.0,5.341114491673524
2023-01-31,119.84363355,0.46,1.51,2143696.0,2143696.0,5.72609718365829
2023-02-28,118.61476257,0.05,1.5,2128587.0,2128587.0,6.705159252776889
2023-03-31,116.91664423,0.3,1.47,2146398.0,2146398.0,8.829353405582234
2023-04-30,114.92312215,0.14,1.45,2136652.0,2136652.0,12.003758839347379
2023-05-31,115.54469418,0.59,1.44,2137582.0,2137582.0,9.909121746919725
2023-06-30,117.33171639,0.71,1.39,2161384.0,2161384.0,6.935261703985124
2023-07-31,118.78126223,0.1,1.37,2145357.0,2145357.0,3.4907640963161946
2023-08-31,119.9579388,0.17,1.34,2164354.0,2164354.0,3.449067336955343
2023-09-30,120.04776137,0.34,1.31,2204640.0,2204640.0,3.360643077987546
2023-10-31,120.30733669,0.2,1.32,2195088.0,2195088.0,3.3816088855053037
2023-11-30,120.6374477,0.07,1.31,2211381.0,2211381.0,3.3458471704836508
2023-12-31,121.57243387,0.31,1.27,2271990.0,2271990.0,3.2128156977194338
2024-01-31,122.91509162,0.27,1.3,2223506.0,2223506.0,3.3192338522096954
2024-02-29,123.27028503,0.13,1.27,2221893.0,2221893.0,3.3227742466324495
2024-03-31,123.16292148,0.28,1.26,2285751.0,2285751.0,3.3603544981975544
2024-04-30,122.51537979,0.52,1.25,2268846.0,2268846.0,4.470415187181603
2024-05-31,122.50876306,0.86,1.25,2277001.0,2277001.0,4.463537328516368
2024-06-30,122.33504804,0.71,1.27,2336157.0,2336157.0,4.445329227562723
2024-07-31,121.8669069,0.72,1.31,2321183.0,2321183.0,4.186184260025842
2024-08-31,120.79567482,0.7,1.31,2343924.0,2343924.0,5.919121595240965
2024-09-30,119.05353511,0.58,1.3,2384373.0,2384373.0,8.484202083264538
2024-10-31,118.69556767,0.68,1.32,2397484.0,2397484.0,8.288094492135517
2024-11-30,118.21778537,0.4,1.35,2435998.0,2435998.0,7.2311521068054265
2024-12-31,119.75388795,0.5,1.4,2497213.0,2497213.0,4.153550839456528
2025-01-31,121.20536345,0.83,1.51,2450444.0,2450444.0,3.642590712414273
2025-02-28,123.46567347,0.4,1.53,2477987.0,2477987.0,2.7606702359066606
2025-03-31,124.70107304,0.39,1.49,2495720.0,2495720.0,2.721747846384843
2025-04-30,124.28921477,0.52,1.48,2513816.0,2513816.0,3.35604691980454
2025-05-31,124.4015968,0.58,1.48,2532592.0,2532592.0,3.31483523618295
2025-06-30,124.91329136,0.69,1.46,2547706.0,2547706.0,3.281661323408307
2025-07-31,126.27773895,0.91,1.44,2544275.0,2544275.0,2.61517385308242
2025-08-31,126.74581289,0.52,1.44,2546082.0,2546082.0,2.6112076455672826
2025-09-30,128.02877334,0.17,1.43,2589912.0,2589912.0,2.5150046154685253
2025-10-31,130.30432237,0.3,1.47,2596177.0,2596177.0,2.501253486479962
2025-11-30,133.35564592,0.27,1.44,2613896.0,2613896.0,2.462361825738007
2025-12-31,134.79563999,0.21,1.42,2698990.0,2698990.0,2.275587911906756
2026-01-31,135.54334372,0.72,,,,3.972759641215128
