date,P,P_incc,J,L_credito,L,D
2012-12-31,100.0,0.16,1.22,1291867.0,1291867.0,5.328958078760496
2013-01-31,100.94821846,0.65,1.27,1277890.0,1277890.0,5.361385454111907
2013-02-28,101.63817694,0.6,1.28,1288822.0,1288822.0,5.336022638962617
2013-03-31,101.94478644,0.5,1.27,1319047.0,1319047.0,5.265899048779002
2013-04-30,102.79156518,0.74,1.27,1324301.0,1324301.0,5.253709492358002
2013-05-31,104.23295666,2.25,1.27,1343310.0,1343310.0,5.209607612265353
2013-06-30,106.0634085,1.15,1.3,1371462.0,1371462.0,5.144293491145449
2013-07-31,107.7065187,0.48,1.31,1371133.0,1371133.0,5.145056788454643
2013-08-31,108.51949667,0.31,1.38,1387379.0,1387379.0,5.107365213727662
2013-09-30,109.17606582,0.43,1.4,1394720.0,1394720.0,5.090333707506391
2013-10-31,109.83676844,0.26,1.39,1391759.0,1391759.0,5.097203383289143
2013-11-30,110.98728452,0.35,1.39,1418888.0,1418888.0,5.0342626759908375
2013-12-31,112.11271058,0.1,1.42,1461999.0,1461999.0,4.934242887854996
2014-01-31,113.93815423,0.88,1.47,1450143.0,1450143.0,4.961749431617343
2014-02-28,114.18294885,0.33,1.51,1455446.0,1455446.0,4.949446192618378
2014-03-31,114.21691058,0.28,1.48,1470686.0,1470686.0,4.914088590818601
2014-04-30,112.97212115,0.88,1.49,1477149.0,1477149.0,8.467853043791992
2014-05-31,112.4990183,2.05,1.47,1486831.0,1486831.0,9.816701463520452
2014-06-30,112.25669469,0.66,1.47,1499849.0,1499849.0,10.49183936972135
2014-07-31,112.65770097,0.75,1.52,1497784.0,1497784.0,6.927871325362432
2014-08-31,113.8301245,0.08,1.48,1509536.0,1509536.0,5.529294897958351
2014-09-30,114.90749599,0.15,1.51,1535565.0,1535565.0,4.763565897434887
2014-10-31,115.77205221,0.17,1.49,1541066.0,1541066.0,4.750803288018838
2014-11-30,116.43096001,0.44,1.54,1566044.0,1566044.0,4.692853013887943
2014-12-31,116.85414339,0.08,1.5,1601391.0,1601391.0,4.6108461142280515
2015-01-31,116.83253529,0.92,1.57,1591349.0,1591349.0,4.694695483692799
2015-02-28,117.21500246,0.31,1.6,1599734.0,1599734.0,4.675241842545086
2015-03-31,117.83980928,0.62,1.59,1625477.0,1625477.0,4.615516728166367
2015-04-30,118.62407225,0.46,1.6,1617486.0,1617486.0,4.573504867445411
2015-05-31,119.31908518,0.95,1.64,1630568.0,1630568.0,4.543153939181324
2015-06-30,119.64568304,1.84,1.59,1640086.0,1640086.0,4.521071678424743
2015-07-31,120.20203026,0.55,1.6,1643742.0,1643742.0,4.512589566076976
2015-08-31,120.83736628,0.59,1.62,1657395.0,1657395.0,4.480913887771702
2015-09-30,120.88749766,0.22,1.62,1681022.0,1681022.0,4.426098004718988
2015-10-31,121.0866233,0.36,1.66,1670159.0,1670159.0,4.451300736238082
2015-11-30,121.42505164,0.34,1.68,1678370.0,1678370.0,4.4322507842447765
2015-12-31,121.73726835,0.1,1.67,1710914.0,1710914.0,4.356746992055014
2016-01-31,121.40878472,0.39,1.74,1686224.0,1686224.0,5.2976010222435255
2016-02-29,120.8041076,0.54,1.73,1669474.0,1669474.0,6.967353729635775
2016-03-31,120.5558689,0.64,1.72,1643265.0,1643265.0,7.701042930586719
2016-04-30,120.37398479,0.55,1.71,1624448.0,1624448.0,7.355162902794628
2016-05-31,120.64599777,0.08,1.7,1624441.0,1624441.0,5.724287317013853
2016-06-30,120.94313413,1.93,1.7,1603433.0,1603433.0,5.10014404022171
2016-07-31,121.63357388,0.49,1.65,1588513.0,1588513.0,4.640723751759386
2016-08-31,122.13081465,0.29,1.64,1578740.0,1578740.0,4.663397625931907
2016-09-30,122.5177864,0.33,1.64,1571752.0,1571752.0,4.679610153581307
2016-10-31,122.69032004,0.21,1.66,1557581.0,1557581.0,4.712487619139355
2016-11-30,122.91253195,0.16,1.67,1556307.0,1556307.0,4.715443366166449
2016-12-31,122.99544641,0.34,1.59,1548645.0,1548645.0,4.733219609276023
2017-01-31,122.65775502,0.41,1.68,1511586.0,1511586.0,5.7182460404423185
2017-02-28,122.45090914,0.65,1.62,1507526.0,1507526.0,6.279874600089271
2017-03-31,122.15516001,0.16,1.56,1505787.0,1505787.0,7.074793907876321
2017-04-30,122.3686412,-0.02,1.51,1496040.0,1496040.0,6.1983598592454845
2017-05-31,122.90674709,0.63,1.46,1480996.0,1480996.0,5.681053584689278
2017-06-30,123.65233087,0.93,1.47,1485896.0,1485896.0,4.8788005905971685
2017-07-31,124.16509507,0.3,1.43,1456057.0,1456057.0,4.948028640472731
