date,P,P_incc,J,L_credito,L,D
2012-06-30,100.0,0.73,1.3,1180998.0,1180998.0,5.867195214721238
2012-07-31,99.90487303,0.67,1.29,1188704.0,1188704.0,6.283138035917581
2012-08-31,99.74192353,0.26,1.3,1197310.0,1197310.0,6.614556746261032
2012-09-30,99.90431322,0.22,1.25,1218829.0,1218829.0,6.5655935385960404
2012-10-31,100.60858032,0.21,1.27,1234774.0,1234774.0,6.240328685306142
2012-11-30,101.52659742,0.33,1.21,1254604.0,1254604.0,5.69971597017505
2012-12-31,102.26571968,0.16,1.22,1291867.0,1291867.0,5.614929687949082
2013-01-31,103.21113468,0.65,1.27,1277890.0,1277890.0,5.646732223082387
2013-02-28,103.87148009,0.6,1.28,1288822.0,1288822.0,5.621858121767564
2013-03-31,104.87610631,0.5,1.27,1319047.0,1319047.0,5.553085736820568
2013-04-30,106.12958331,0.74,1.27,1324301.0,1324301.0,5.541131059880568
2013-05-31,108.16670246,2.25,1.27,1343310.0,1343310.0,5.49787897500191
2013-06-30,109.90614365,1.15,1.3,1371462.0,1371462.0,5.4338233858860185
2013-07-31,112.58759414,0.48,1.31,1371133.0,1371133.0,5.4345719752870965
2013-08-31,113.46044638,0.31,1.38,1387379.0,1387379.0,5.397606676168854
2013-09-30,115.11173132,0.43,1.4,1394720.0,1394720.0,5.3809033485296185
2013-10-31,115.23669959,0.26,1.39,1391759.0,1391759.0,5.3876406531393135
2013-11-30,117.65425824,0.35,1.39,1418888.0,1418888.0,5.325912744744706
2013-12-31,119.52014633,0.1,1.42,1461999.0,1461999.0,5.227820229030896
2014-01-31,121.15128615,0.88,1.47,1450143.0,1450143.0,5.254796751642362
2014-02-28,121.59078613,0.33,1.51,1455446.0,1455446.0,5.242730582663904
2014-03-31,122.21442992,0.28,1.48,1470686.0,1470686.0,5.208054283355642
2014-04-30,123.16533733,0.88,1.49,1477149.0,1477149.0,5.193348711017761
2014-05-31,124.58149962,2.05,1.47,1486831.0,1486831.0,5.171318794357487
2014-06-30,126.2874492,0.66,1.47,1499849.0,1499849.0,5.1416983176911515
2014-07-31,128.03915522,0.75,1.52,1497784.0,1497784.0,5.146396910740466
2014-08-31,129.44193109,0.08,1.48,1509536.0,1509536.0,5.119657024292259
2014-09-30,130.48892905,0.15,1.51,1535565.0,1535565.0,5.060431998393653
2014-10-31,131.28541961,0.17,1.49,1541066.0,1541066.0,5.047915310565914
2014-11-30,132.55449993,0.44,1.54,1566044.0,1566044.0,4.991081675124854
2014-12-31,133.61100101,0.08,1.5,1601391.0,1601391.0,4.9106549591373785
2015-01-31,134.84558711,0.92,1.57,1591349.0,1591349.0,4.933504000978164
2015-02-28,136.36111016,0.31,1.6,1599734.0,1599734.0,4.914425210315449
2015-03-31,137.25279099,0.62,1.59,1625477.0,1625477.0,4.8558509338658045
2015-04-30,136.88110751,0.46,1.6,1617486.0,1617486.0,5.696697934057054
2015-05-31,137.97375021,0.95,1.64,1630568.0,1630568.0,5.666931835136406
2015-06-30,138.15249703,1.84,1.59,1640086.0,1640086.0,5.645275075502808
2015-07-31,139.24025327,0.55,1.6,1643742.0,1643742.0,4.814291707693535
2015-08-31,139.82641131,0.59,1.62,1657395.0,1657395.0,4.783226385222688
2015-09-30,140.65455283,0.22,1.62,1681022.0,1681022.0,4.729466744556265
2015-10-31,142.48406638,0.36,1.66,1670159.0,1670159.0,4.754183846878158
2015-11-30,143.41080859,0.34,1.68,1678370.0,1678370.0,4.735500966719356
2015-12-31,144.06573427,0.1,1.67,1710914.0,1710914.0,4.661452050401242
2016-01-31,143.53735373,0.39,1.74,1686224.0,1686224.0,5.831814349970601
2016-02-29,143.37998934,0.54,1.73,1669474.0,1669474.0,6.202978629644051
2016-03-31,144.07645763,0.64,1.72,1643265.0,1643265.0,6.262613218132911
2016-04-30,145.22283945,0.55,1.71,1624448.0,1624448.0,5.191244471975922
2016-05-31,147.13813785,0.08,1.7,1624441.0,1624441.0,4.858208194107495
2016-06-30,147.91991907,1.93,1.7,1603433.0,1603433.0,4.9060086990857075
2016-07-31,148.79694561,0.49,1.65,1588513.0,1588513.0,4.939956887122404
2016-08-31,148.81941828,0.29,1.64,1578740.0,1578740.0,4.962193860425531
2016-09-30,148.89825672,0.33,1.64,1571752.0,1571752.0,4.978093990318322
2016-10-31,148.75241279,0.21,1.66,1557581.0,1557581.0,5.307894504641382
2016-11-30,148.74672825,0.16,1.67,1556307.0,1556307.0,5.32240249232688
2016-12-31,148.61825446,0.34,1.59,1548645.0,1548645.0,5.6022205400138985
2017-01-31,148.20855926,0.41,1.68,1511586.0,1511586.0,6.226437283299532
2017-02-28,147.8137503,0.65,1.62,1507526.0,1507526.0,7.033319341349779
2017-03-31,147.52867075,0.16,1.56,1505787.0,1505787.0,7.360789836867302
2017-04-30,147.20775839,-0.02,1.51,1496040.0,1496040.0,7.206332840103135
2017-05-31,146.69950943,0.63,1.46,1480996.0,1480996.0,7.480167565574076
2017-06-30,146.6351226,0.93,1.47,1485896.0,1485896.0,7.0164538284038525
2017-07-31,146.91420347,0.3,1.43,1456057.0,1456057.0,6.423531546429343
2017-08-31,146.96400417,0.36,1.39,1442958.0,1442958.0,5.404478590966927
2017-09-30,146.77467461,0.06,1.37,1439429.0,1439429.0,5.670536449543262
2017-10-31,147.26961996,0.31,1.32,1432195.0,1432195.0,5.686996314976068
2017-11-30,147.89263687,0.31,1.32,1429364.0,1429364.0,5.693437824381691
2017-12-31,148.7986767,0.07,1.29,1445115.0,1445115.0,5.26623719999682
2018-01-31,149.15642046,0.31,1.31,1410571.0,1410571.0,5.344836811762213
2018-02-28,149.36769882,0.13,1.24,1405303.0,1405303.0,5.356823343570344
2018-03-31,149.65119623,0.24,1.2,1415763.0,1415763.0,5.333023206381078
2018-04-30,149.59181355,0.29,1.17,1414907.0,1414907.0,5.455516233278087
2018-05-31,149.99444624,0.23,1.18,1419445.0,1419445.0,5.445190705308212
2018-06-30,149.86692707,0.97,1.23,1432717.0,1432717.0,5.673260578896498
2018-07-31,150.2576814,0.61,1.24,1420881.0,1420881.0,5.579646265307918
2018-08-31,150.45067262,0.15,1.23,1434320.0,1434320.0,5.5490678672499305
