date,value
2012-12-01,100.00000000
2013-01-01,101.96984159
2013-02-01,103.46931948
2013-03-01,104.70775489
2013-04-01,105.42109043
2013-05-01,106.68675560
2013-06-01,107.65861811
2013-07-01,108.91089872
2013-08-01,110.42963559
2013-09-01,112.13069467
2013-10-01,113.99017853
2013-11-01,115.71165139
2013-12-01,117.78082550
2014-01-01,119.47234916
2014-02-01,120.92198888
2014-03-01,122.41113289
2014-04-01,123.78009875
2014-05-01,124.40281240
2014-06-01,124.19487079
2014-07-01,124.66708804
2014-08-01,125.29562495
2014-09-01,127.30243579
2014-10-01,128.51181197
2014-11-01,130.41396131
2014-12-01,130.55529106
2015-01-01,131.13041576
2015-02-01,129.55616479
2015-03-01,126.27372817
2015-04-01,126.58157330
2015-05-01,125.85989335
2015-06-01,125.13271284
2015-07-01,125.01083323
2015-08-01,125.07420761
2015-09-01,125.24108324
2015-10-01,125.96886806
2015-11-01,126.68962313
2015-12-01,127.52914863
2016-01-01,127.58566860
2016-02-01,127.63926585
2016-03-01,127.65459094
2016-04-01,127.78463519
2016-05-01,127.93358046
2016-06-01,127.37164783
2016-07-01,126.86877996
2016-08-01,126.59078856
2016-09-01,127.02145025
2016-10-01,127.42146510
2016-11-01,127.82231353
2016-12-01,128.00153113
2017-01-01,127.44270433
2017-02-01,127.49543414
2017-03-01,127.31011441
2017-04-01,127.54104842
2017-05-01,127.61677466
2017-06-01,128.04250666
2017-07-01,128.27936816
2017-08-01,128.34418331
2017-09-01,128.20313808
2017-10-01,128.17919253
2017-11-01,128.29935536
2017-12-01,128.50008958
2018-01-01,128.73276301
2018-02-01,129.03726893
2018-03-01,129.89910720
2018-04-01,130.10687370
2018-05-01,130.06260426
2018-06-01,129.49609832
2018-07-01,129.20130748
2018-08-01,129.08340931
2018-09-01,129.00819929
2018-10-01,129.15346151
2018-11-01,129.42424028
2018-12-01,129.48982042
2019-01-01,129.39192221
2019-02-01,129.69183610
2019-03-01,129.92698381
2019-04-01,130.21765116
2019-05-01,130.21399494
2019-06-01,130.24087668
2019-07-01,130.06715314
2019-08-01,130.05440249
2019-09-01,129.74824835
2019-10-01,129.62088412
2019-11-01,129.38621164
2019-12-01,128.91898437
2020-01-01,128.52174449
2020-02-01,128.53629192
2020-03-01,129.00172282
2020-04-01,129.53299124
2020-05-01,129.66603063
2020-06-01,128.86361610
2020-07-01,128.57538980
2020-08-01,127.96660945
2020-09-01,128.56100245
2020-10-01,129.12542626
2020-11-01,130.45146138
2020-12-01,131.79943579
2021-01-01,132.37772295
2021-02-01,132.81616739
2021-03-01,133.16112977
2021-04-01,134.03996972
2021-05-01,134.79034269
2021-06-01,135.60323704
2021-07-01,136.34096996
2021-08-01,137.01207713
2021-09-01,137.83443061
2021-10-01,138.58847376
2021-11-01,139.72649064
2021-12-01,140.50572284
2022-01-01,141.10225156
2022-02-01,141.67586259
2022-03-01,142.53408339
2022-04-01,143.63873522
2022-05-01,144.21990407
2022-06-01,145.28513600
2022-07-01,145.97780464
2022-08-01,147.08018345
2022-09-01,147.52323799
2022-10-01,148.33456078
2022-11-01,149.28538594
2022-12-01,150.15871886
2023-01-01,151.05892289
2023-02-01,151.89543057
2023-03-01,152.64370612
2023-04-01,153.24790491
2023-05-01,153.46563901
2023-06-01,154.03520885
2023-07-01,155.09217559
2023-08-01,156.80284341
2023-09-01,158.46329728
2023-10-01,159.98908006
2023-11-01,160.77469629
2023-12-01,161.50123241
2024-01-01,161.92262002
2024-02-01,162.45799686
2024-03-01,163.10529173
2024-04-01,163.85391307
2024-05-01,165.99304490
2024-06-01,168.27445950
2024-07-01,170.67169787
2024-08-01,172.23987298
2024-09-01,173.84020348
2024-10-01,175.69533692
2024-11-01,177.83198412
2024-12-01,179.04587230
2025-01-01,180.04066281
2025-02-01,180.97853072
2025-03-01,182.15722365
2025-04-01,183.14658287
2025-05-01,183.55749260
2025-06-01,183.92005078
2025-07-01,183.70731971
2025-08-01,183.81007277
2025-09-01,184.66390111
2025-10-01,185.86912389
2025-11-01,186.36642127
2025-12-01,186.95945272
2026-01-01,187.99485370
