date,value
2018-01-01,100.00000000
2018-02-01,100.02064409
2018-03-01,99.68632159
2018-04-01,98.92567940
2018-05-01,98.86152181
2018-06-01,99.21257389
2018-07-01,99.59149699
2018-08-01,98.91645708
2018-09-01,98.04411099
2018-10-01,97.45647557
2018-11-01,96.76385840
2018-12-01,95.89821095
2019-01-01,94.67650441
2019-02-01,94.64405618
2019-03-01,94.70987962
2019-04-01,95.78406205
2019-05-01,96.49660229
2019-06-01,97.72183070
2019-07-01,98.70029317
2019-08-01,99.24476244
2019-09-01,98.96841547
2019-10-01,98.13130650
2019-11-01,97.26498806
2019-12-01,96.41482783
2020-01-01,96.74923961
2020-02-01,97.33864914
2020-03-01,97.66334444
2020-04-01,98.08687960
2020-05-01,97.88443257
2020-06-01,98.46487257
2020-07-01,98.89060832
2020-08-01,99.82780450
2020-09-01,100.48733761
2020-10-01,101.09059018
2020-11-01,102.14322116
2020-12-01,104.02798577
2021-01-01,105.92318993
2021-02-01,107.48706783
2021-03-01,108.97141802
2021-04-01,110.60131928
2021-05-01,111.61233280
2021-06-01,112.51366409
2021-07-01,113.34502917
2021-08-01,115.34614604
2021-09-01,116.87033668
2021-10-01,118.72249886
2021-11-01,120.65970380
2021-12-01,123.27682031
2022-01-01,125.31470817
2022-02-01,126.75822064
2022-03-01,127.85673239
2022-04-01,127.74590634
2022-05-01,127.98081261
2022-06-01,128.89119760
2022-07-01,130.69113054
2022-08-01,132.03900898
2022-09-01,133.63688190
2022-10-01,135.36998351
2022-11-01,137.80520220
2022-12-01,139.57807237
2023-01-01,141.11255629
2023-02-01,142.54949223
2023-03-01,144.39807330
2023-04-01,146.67468544
2023-05-01,149.09930439
2023-06-01,151.48101137
2023-07-01,153.57091253
2023-08-01,155.24744860
2023-09-01,157.18442883
2023-10-01,159.24567416
2023-11-01,161.12654273
2023-12-01,161.91667253
2024-01-01,162.76815596
2024-02-01,164.26072489
2024-03-01,165.74347451
2024-04-01,168.05911278
2024-05-01,170.18962795
2024-06-01,172.12565951
2024-07-01,172.04256593
2024-08-01,171.66003672
2024-09-01,171.68239209
2024-10-01,173.50737561
2024-11-01,176.11450115
2024-12-01,178.91019672
2025-01-01,180.42745990
2025-02-01,181.14204849
2025-03-01,180.37442114
2025-04-01,179.74944749
2025-05-01,179.90989473
2025-06-01,181.58769331
2025-07-01,184.13063218
2025-08-01,186.44127949
2025-09-01,188.23499111
2025-10-01,189.92161596
2025-11-01,189.53477468
2025-12-01,189.97205959
2026-01-01,190.05194473
