date,value
2010-08-01,100.00000000
2010-09-01,99.09063984
2010-10-01,100.01987123
2010-11-01,100.92112558
2010-12-01,102.55725798
2011-01-01,102.84233158
2011-02-01,103.44659799
2011-03-01,104.51506764
2011-04-01,105.41558272
2011-05-01,106.00875800
2011-06-01,105.40998434
2011-07-01,105.55326140
2011-08-01,105.90207881
2011-09-01,106.83583161
2011-10-01,107.90419437
2011-11-01,108.74397243
2011-12-01,109.52382281
2012-01-01,110.58532883
2012-02-01,112.91143870
2012-03-01,112.96010514
2012-04-01,112.25298451
2012-05-01,110.82487557
2012-06-01,113.15937402
2012-07-01,115.18619591
2012-08-01,116.40616600
2012-09-01,116.21141180
2012-10-01,116.63262285
2012-11-01,118.07973290
2012-12-01,120.52119636
2013-01-01,122.25081196
2013-02-01,123.85589155
2013-03-01,123.86078307
2013-04-01,124.32741487
2013-05-01,124.77135117
2013-06-01,126.81383519
2013-07-01,129.09524103
2013-08-01,131.15482099
2013-09-01,132.22945833
2013-10-01,132.45604058
2013-11-01,132.60922626
2013-12-01,133.36539865
2014-01-01,134.27345697
2014-02-01,135.07645007
2014-03-01,136.17249610
2014-04-01,136.78852219
2014-05-01,137.84209184
2014-06-01,138.62084104
2014-07-01,139.55151929
2014-08-01,140.21518735
2014-09-01,141.44758479
2014-10-01,142.12386539
2014-11-01,142.96112897
2014-12-01,142.82541288
2015-01-01,144.05389419
2015-02-01,143.68432741
2015-03-01,143.45989933
2015-04-01,144.76658316
2015-05-01,145.01622106
2015-06-01,145.36445284
2015-07-01,145.89172166
2015-08-01,146.45293020
2015-09-01,146.52006002
2015-10-01,146.37757057
2015-11-01,146.21978310
2015-12-01,146.25407703
2016-01-01,145.31059484
2016-02-01,144.64999970
2016-03-01,144.81584587
2016-04-01,145.49006796
2016-05-01,146.37299182
2016-06-01,147.06651282
2016-07-01,147.49154031
2016-08-01,147.61236716
2016-09-01,148.16936474
2016-10-01,148.59491556
2016-11-01,149.45078100
2016-12-01,149.86605778
2017-01-01,149.96300443
2017-02-01,150.47218390
2017-03-01,150.64089098
2017-04-01,150.59148112
2017-05-01,150.31884013
2017-06-01,149.79873225
2017-07-01,149.11757904
2017-08-01,148.90490879
2017-09-01,149.01113071
2017-10-01,148.97848816
2017-11-01,148.87324845
2017-12-01,148.64861813
2018-01-01,148.87672888
2018-02-01,149.06950704
2018-03-01,149.34275410
2018-04-01,149.33774672
2018-05-01,148.67464772
2018-06-01,147.86087441
2018-07-01,147.37774756
2018-08-01,147.76148456
2018-09-01,148.48810013
2018-10-01,149.03142365
2018-11-01,149.13727138
2018-12-01,149.27000145
2019-01-01,149.16859475
2019-02-01,149.19714920
2019-03-01,149.26328586
2019-04-01,148.66275165
2019-05-01,147.72785674
2019-06-01,147.11630194
2019-07-01,147.42791492
2019-08-01,148.33298150
2019-09-01,148.98363947
2019-10-01,149.61724833
2019-11-01,150.73929686
2019-12-01,150.88896235
2020-01-01,151.13177773
2020-02-01,151.25697097
2020-03-01,151.53047485
2020-04-01,151.78961810
2020-05-01,152.26030984
2020-06-01,152.38215078
2020-07-01,152.74055004
2020-08-01,152.93665800
2020-09-01,154.01226475
2020-10-01,154.64521804
2020-11-01,155.76453913
2020-12-01,156.33184751
2021-01-01,156.41233105
2021-02-01,155.88706895
2021-03-01,156.07052907
2021-04-01,157.06601490
2021-05-01,158.41450968
2021-06-01,159.06125675
2021-07-01,158.92127892
2021-08-01,158.60311006
2021-09-01,158.60726142
2021-10-01,158.65305116
2021-11-01,158.47422027
2021-12-01,158.78834935
2022-01-01,159.55847373
2022-02-01,160.98124399
2022-03-01,162.30980189
2022-04-01,163.20663413
2022-05-01,163.99832382
2022-06-01,165.26878140
2022-07-01,167.21614981
2022-08-01,168.58393460
2022-09-01,169.35709767
2022-10-01,169.18320804
2022-11-01,169.09075840
2022-12-01,168.28224670
2023-01-01,169.06217656
2023-02-01,170.66462577
2023-03-01,172.71975478
2023-04-01,174.18855244
2023-05-01,174.76922144
2023-06-01,175.91928381
2023-07-01,177.25531876
2023-08-01,178.33463580
2023-09-01,178.96758877
2023-10-01,178.95206504
2023-11-01,178.58679854
2023-12-01,177.99080364
2024-01-01,178.42162941
2024-02-01,180.47407703
2024-03-01,182.73917513
2024-04-01,184.03302048
2024-05-01,186.20207660
2024-06-01,189.06903394
2024-07-01,193.67292903
2024-08-01,197.67597177
2024-09-01,200.98632417
2024-10-01,203.22819962
2024-11-01,204.39477230
2024-12-01,207.15062156
2025-01-01,210.53943437
2025-02-01,214.95904410
2025-03-01,218.58829249
2025-04-01,222.00650441
2025-05-01,225.01656758
2025-06-01,227.57483981
2025-07-01,230.99889284
2025-08-01,233.05221527
2025-09-01,235.04161271
2025-10-01,235.66738503
2025-11-01,237.84715955
2025-12-01,240.82179175
2026-01-01,243.39303333
