date,value
2011-12-01,100.00000000
2012-01-01,101.99824746
2012-02-01,103.07444815
2012-03-01,103.96890549
2012-04-01,105.94855760
2012-05-01,107.35523107
2012-06-01,108.45719975
2012-07-01,109.37909645
2012-08-01,110.79493681
2012-09-01,112.07629591
2012-10-01,113.00935973
2012-11-01,113.79099432
2012-12-01,114.38778144
2013-01-01,115.18483136
2013-02-01,115.31062501
2013-03-01,116.37161934
2013-04-01,116.98081952
2013-05-01,117.94493180
2013-06-01,118.39847912
2013-07-01,119.52995314
2013-08-01,121.36345250
2013-09-01,123.51379404
2013-10-01,125.13054744
2013-11-01,126.43205147
2013-12-01,127.57623208
2014-01-01,128.60845608
2014-02-01,129.62866748
2014-03-01,130.45601099
2014-04-01,131.16864412
2014-05-01,131.44439612
2014-06-01,131.91929547
2014-07-01,132.59970132
2014-08-01,133.52173804
2014-09-01,133.74494078
2014-10-01,133.97742464
2014-11-01,134.68803599
2014-12-01,135.72144820
2015-01-01,136.32778368
2015-02-01,136.59092262
2015-03-01,136.70821957
2015-04-01,137.07293005
2015-05-01,137.19297997
2015-06-01,137.42666980
2015-07-01,137.82913024
2015-08-01,137.98269531
2015-09-01,138.18971340
2015-10-01,138.85062556
2015-11-01,139.66737217
2015-12-01,140.56919993
2016-01-01,141.10949682
2016-02-01,141.58526812
2016-03-01,141.63825832
2016-04-01,141.73197143
2016-05-01,141.78387344
2016-06-01,141.78036665
2016-07-01,141.73319991
2016-08-01,141.98891017
2016-09-01,142.49570041
2016-10-01,143.06600768
2016-11-01,143.35224972
2016-12-01,143.73223707
2017-01-01,144.43063228
2017-02-01,144.38186098
2017-03-01,144.25646749
2017-04-01,144.29096466
2017-05-01,143.75010990
2017-06-01,142.66315254
2017-07-01,142.04680857
2017-08-01,141.69554135
2017-09-01,141.54365284
2017-10-01,141.47023554
2017-11-01,141.72610008
2017-12-01,142.72975699
2018-01-01,143.66080092
2018-02-01,144.46471974
2018-03-01,145.11680950
2018-04-01,145.76405329
2018-05-01,146.36169214
2018-06-01,146.32725754
2018-07-01,146.28736756
2018-08-01,145.86392581
2018-09-01,145.58480386
2018-10-01,145.60523429
2018-11-01,146.02128444
2018-12-01,146.28734821
2019-01-01,147.37892152
2019-02-01,148.33937346
2019-03-01,148.67337441
2019-04-01,148.35074121
2019-05-01,147.83937842
2019-06-01,147.61669312
2019-07-01,148.08827267
2019-08-01,148.52207258
2019-09-01,148.65963690
2019-10-01,148.95968359
2019-11-01,149.08041923
2019-12-01,149.50024869
2020-01-01,149.87709678
2020-02-01,150.21033941
2020-03-01,150.76086040
2020-04-01,151.19511968
2020-05-01,151.72872768
2020-06-01,152.19540775
2020-07-01,152.63789089
2020-08-01,152.96882342
2020-09-01,152.82533958
2020-10-01,152.56998554
2020-11-01,152.32569041
2020-12-01,152.47238471
2021-01-01,153.19627594
2021-02-01,153.97112412
2021-03-01,154.70867823
2021-04-01,154.97755643
2021-05-01,155.29635475
2021-06-01,155.77411004
2021-07-01,156.59024910
2021-08-01,157.36287625
2021-09-01,158.22223797
2021-10-01,159.40972864
2021-11-01,160.81597039
2021-12-01,161.83242329
2022-01-01,162.03952780
2022-02-01,162.69851268
2022-03-01,164.05199518
2022-04-01,166.05457061
2022-05-01,167.88194114
2022-06-01,169.26133720
2022-07-01,171.13677538
2022-08-01,172.91105942
2022-09-01,174.88957251
2022-10-01,175.89913966
2022-11-01,177.05716074
2022-12-01,178.49616881
2023-01-01,180.23933252
2023-02-01,180.85641701
2023-03-01,181.97013571
2023-04-01,183.04666349
2023-05-01,184.23910716
2023-06-01,184.38380285
2023-07-01,184.71772796
2023-08-01,185.95327909
2023-09-01,187.19775732
2023-10-01,188.00693449
2023-11-01,188.85267217
2023-12-01,190.50771925
2024-01-01,192.23333437
2024-02-01,193.47264557
2024-03-01,194.16059176
2024-04-01,195.56676258
2024-05-01,196.86239572
2024-06-01,199.01459913
2024-07-01,200.31195024
2024-08-01,202.57241134
2024-09-01,204.41257415
2024-10-01,205.56191847
2024-11-01,206.47316870
2024-12-01,207.03057232
2025-01-01,208.02059501
2025-02-01,208.45648274
2025-03-01,209.45485720
2025-04-01,211.16627078
2025-05-01,213.29715766
2025-06-01,215.52100713
2025-07-01,218.43685288
2025-08-01,220.94886660
2025-09-01,222.95880789
2025-10-01,224.62258731
2025-11-01,226.80494445
2025-12-01,228.46538543
2026-01-01,229.23317365
