date,value
2005-01-01,0.57
2005-01-02,0.44
2005-01-03,0.73
2005-01-04,0.91
2005-01-05,0.7
2005-01-06,-0.11
2005-01-07,0.03
2005-01-08,0.0
2005-01-09,0.15
2005-01-10,0.58
2005-01-11,0.54
2005-01-12,0.4
2006-01-01,0.38
2006-01-02,0.23
2006-01-03,0.27
2006-01-04,0.12
2006-01-05,0.13
2006-01-06,-0.07
2006-01-07,0.11
2006-01-08,-0.02
2006-01-09,0.16
2006-01-10,0.43
2006-01-11,0.42
2006-01-12,0.62
2007-01-01,0.49
2007-01-02,0.42
2007-01-03,0.44
2007-01-04,0.26
2007-01-05,0.26
2007-01-06,0.31
2007-01-07,0.32
2007-01-08,0.59
2007-01-09,0.25
2007-01-10,0.3
2007-01-11,0.43
2007-01-12,0.97
2008-01-01,0.69
2008-01-02,0.48
2008-01-03,0.51
2008-01-04,0.64
2008-01-05,0.96
2008-01-06,0.91
2008-01-07,0.58
2008-01-08,0.21
2008-01-09,0.15
2008-01-10,0.5
2008-01-11,0.38
2008-01-12,0.29
2009-01-01,0.64
2009-01-02,0.31
2009-01-03,0.2
2009-01-04,0.55
2009-01-05,0.6
2009-01-06,0.42
2009-01-07,0.23
2009-01-08,0.08
2009-01-09,0.16
2009-01-10,0.24
2009-01-11,0.37
2009-01-12,0.24
2010-01-01,0.88
2010-01-02,0.7
2010-01-03,0.71
2010-01-04,0.73
2010-01-05,0.43
2010-01-06,-0.11
2010-01-07,-0.07
2010-01-08,-0.07
2010-01-09,0.54
2010-01-10,0.92
2010-01-11,1.03
2010-01-12,0.6
2011-01-01,0.94
2011-01-02,0.54
2011-01-03,0.66
2011-01-04,0.72
2011-01-05,0.57
2011-01-06,0.22
2011-01-07,0.0
2011-01-08,0.42
2011-01-09,0.45
2011-01-10,0.32
2011-01-11,0.57
2011-01-12,0.51
2012-01-01,0.51
2012-01-02,0.39
2012-01-03,0.18
2012-01-04,0.64
2012-01-05,0.55
2012-01-06,0.26
2012-01-07,0.43
2012-01-08,0.45
2012-01-09,0.63
2012-01-10,0.71
2012-01-11,0.54
2012-01-12,0.74
2013-01-01,0.92
2013-01-02,0.52
2013-01-03,0.6
2013-01-04,0.59
2013-01-05,0.35
2013-01-06,0.28
2013-01-07,-0.13
2013-01-08,0.16
2013-01-09,0.27
2013-01-10,0.61
2013-01-11,0.54
2013-01-12,0.72
2014-01-01,0.63
2014-01-02,0.64
2014-01-03,0.82
2014-01-04,0.78
2014-01-05,0.6
2014-01-06,0.26
2014-01-07,0.13
2014-01-08,0.18
2014-01-09,0.49
2014-01-10,0.38
2014-01-11,0.53
2014-01-12,0.62
2015-01-01,1.48
2015-01-02,1.16
2015-01-03,1.51
2015-01-04,0.71
2015-01-05,0.99
2015-01-06,0.77
2015-01-07,0.58
2015-01-08,0.25
2015-01-09,0.51
2015-01-10,0.77
2015-01-11,1.11
2015-01-12,0.9
2016-01-01,1.51
2016-01-02,0.95
2016-01-03,0.44
2016-01-04,0.64
2016-01-05,0.98
2016-01-06,0.47
2016-01-07,0.64
2016-01-08,0.31
2016-01-09,0.08
2016-01-10,0.17
2016-01-11,0.07
2016-01-12,0.14
2017-01-01,0.42
2017-01-02,0.24
2017-01-03,0.32
2017-01-04,0.08
2017-01-05,0.36
2017-01-06,-0.3
2017-01-07,0.17
2017-01-08,-0.03
2017-01-09,-0.02
2017-01-10,0.37
2017-01-11,0.18
2017-01-12,0.26
2018-01-01,0.23
2018-01-02,0.18
2018-01-03,0.07
2018-01-04,0.21
2018-01-05,0.43
2018-01-06,1.43
2018-01-07,0.25
2018-01-08,0.0
2018-01-09,0.3
2018-01-10,0.4
2018-01-11,-0.25
2018-01-12,0.14
2019-01-01,0.36
2019-01-02,0.54
2019-01-03,0.77
2019-01-04,0.6
2019-01-05,0.15
2019-01-06,0.01
2019-01-07,0.1
2019-01-08,0.12
2019-01-09,-0.05
2019-01-10,0.04
2019-01-11,0.54
2019-01-12,1.22
2020-01-01,0.19
2020-01-02,0.17
2020-01-03,0.18
2020-01-04,-0.23
2020-01-05,-0.25
2020-01-06,0.3
2020-01-07,0.44
2020-01-08,0.36
2020-01-09,0.87
2020-01-10,0.89
2020-01-11,0.95
2020-01-12,1.46
2021-01-01,0.27
2021-01-02,0.82
2021-01-03,0.86
2021-01-04,0.38
2021-01-05,0.96
2021-01-06,0.6
2021-01-07,1.02
2021-01-08,0.88
2021-01-09,1.2
2021-01-10,1.16
2021-01-11,0.84
2021-01-12,0.73
2022-01-01,0.67
2022-01-02,1.0
2022-01-03,1.71
2022-01-04,1.04
2022-01-05,0.45
2022-01-06,0.62
2022-01-07,-0.6
2022-01-08,-0.31
2022-01-09,-0.32
2022-01-10,0.47
2022-01-11,0.38
2022-01-12,0.69
2023-01-01,0.46
2023-01-02,0.77
2023-01-03,0.64
2023-01-04,0.53
2023-01-05,0.36
2023-01-06,-0.1
2023-01-07,-0.09
2023-01-08,0.2
2023-01-09,0.11
2023-01-10,0.12
2023-01-11,0.1
2023-01-12,0.55
2024-01-01,0.57
2024-01-02,0.81
2024-01-03,0.19
2024-01-04,0.37
2024-01-05,0.46
2024-01-06,0.25
2024-01-07,0.26
2024-01-08,-0.14
2024-01-09,0.48
2024-01-10,0.61
2024-01-11,0.33
2024-01-12,0.48
2025-01-01,0.0
2025-01-02,1.48
2025-01-03,0.51
2025-01-04,0.48
2025-01-05,0.35
2025-01-06,0.23
2025-01-07,0.21
2025-01-08,-0.21
2025-01-09,0.52
2025-01-10,0.03
2025-01-11,0.03
2025-01-12,0.21
