date,value
2018-01-01,100.00000000
2018-02-01,100.46154162
2018-03-01,100.29883256
2018-04-01,100.45002441
2018-05-01,100.31257344
2018-06-01,100.42665321
2018-07-01,100.38431505
2018-08-01,99.76793088
2018-09-01,98.97276746
2018-10-01,98.59039519
2018-11-01,98.87149829
2018-12-01,99.14353524
2019-01-01,99.55820339
2019-02-01,99.90901978
2019-03-01,100.16504718
2019-04-01,100.32604199
2019-05-01,100.52541356
2019-06-01,100.94534932
2019-07-01,101.05885880
2019-08-01,101.45675655
2019-09-01,102.12483691
2019-10-01,102.31811468
2019-11-01,102.60160614
2019-12-01,103.03870199
2020-01-01,103.77042878
2020-02-01,104.33491486
2020-03-01,104.99577474
2020-04-01,105.47478486
2020-05-01,106.02646503
2020-06-01,106.22319828
2020-07-01,106.52395680
2020-08-01,106.86333871
2020-09-01,107.49447960
2020-10-01,108.34457802
2020-11-01,108.93230109
2020-12-01,109.42180909
2021-01-01,109.61490933
2021-02-01,110.25371732
2021-03-01,110.61590949
2021-04-01,110.80635537
2021-05-01,111.38042507
2021-06-01,112.31172234
2021-07-01,113.46575932
2021-08-01,114.13268156
2021-09-01,114.76223567
2021-10-01,115.45845882
2021-11-01,115.87095026
2021-12-01,116.65178962
2022-01-01,117.50178996
2022-02-01,118.72367162
2022-03-01,119.46202509
2022-04-01,120.19253793
2022-05-01,120.87363597
2022-06-01,121.81638725
2022-07-01,122.51110161
2022-08-01,123.28432661
2022-09-01,123.53180862
2022-10-01,124.01545114
2022-11-01,124.94584463
2022-12-01,126.35779566
2023-01-01,127.32139067
2023-02-01,127.52882443
2023-03-01,127.53624180
2023-04-01,127.63802447
2023-05-01,128.17365972
2023-06-01,128.60480818
2023-07-01,129.13240669
2023-08-01,129.73915256
2023-09-01,130.71268134
2023-10-01,131.83721220
2023-11-01,132.64771681
2023-12-01,132.92228895
2024-01-01,133.30124040
2024-02-01,134.04744914
2024-03-01,134.97067534
2024-04-01,135.71606978
2024-05-01,136.88463037
2024-06-01,137.80263438
2024-07-01,138.12186872
2024-08-01,137.61556171
2024-09-01,136.72774595
2024-10-01,137.12374293
2024-11-01,137.61896025
2024-12-01,139.01456841
2025-01-01,139.86143547
2025-02-01,140.71486007
2025-03-01,140.59901279
2025-04-01,140.08361922
2025-05-01,139.82554128
2025-06-01,140.31171104
2025-07-01,141.16982365
2025-08-01,141.33994546
2025-09-01,141.45484718
2025-10-01,142.10142381
2025-11-01,142.84615782
2025-12-01,143.85406829
2026-01-01,144.00787887
