date,value
2018-01-01,100.00000000
2018-02-01,100.21645992
2018-03-01,100.34295852
2018-04-01,100.47711947
2018-05-01,100.51091965
2018-06-01,100.58130769
2018-07-01,100.48180347
2018-08-01,100.50626806
2018-09-01,100.58178143
2018-10-01,100.68198811
2018-11-01,100.73313475
2018-12-01,100.67819517
2019-01-01,100.79079510
2019-02-01,100.86459948
2019-03-01,100.73642018
2019-04-01,100.43581343
2019-05-01,100.22345055
2019-06-01,100.21876471
2019-07-01,100.41168372
2019-08-01,100.49277357
2019-09-01,100.69291985
2019-10-01,101.29521209
2019-11-01,102.56262417
2019-12-01,104.22732672
2020-01-01,104.07162020
2020-02-01,104.04751683
2020-03-01,104.33939667
2020-04-01,104.68976786
2020-05-01,104.87720346
2020-06-01,104.70317982
2020-07-01,104.12531356
2020-08-01,103.88741644
2020-09-01,104.10484320
2020-10-01,104.53358259
2020-11-01,104.54515527
2020-12-01,104.40528162
2021-01-01,103.90414338
2021-02-01,103.48727477
2021-03-01,103.24695894
2021-04-01,103.50271947
2021-05-01,103.94054705
2021-06-01,104.32926015
2021-07-01,104.68680252
2021-08-01,104.88411951
2021-09-01,105.12267590
2021-10-01,105.14536917
2021-11-01,105.18143234
2021-12-01,105.21965247
2022-01-01,105.47345186
2022-02-01,105.79210110
2022-03-01,106.31068123
2022-04-01,107.09014960
2022-05-01,107.83567078
2022-06-01,108.30091332
2022-07-01,108.48557775
2022-08-01,108.84773075
2022-09-01,109.44559086
2022-10-01,110.04251834
2022-11-01,110.59217174
2022-12-01,110.85590708
2023-01-01,111.25532016
2023-02-01,111.61502282
2023-03-01,112.21209985
2023-04-01,112.63774227
2023-05-01,113.06497492
2023-06-01,113.29654732
2023-07-01,113.73198994
2023-08-01,113.98692428
2023-09-01,114.30914219
2023-10-01,114.71839451
2023-11-01,114.99574766
2023-12-01,115.37962718
2024-01-01,115.47697175
2024-02-01,115.86744520
2024-03-01,116.61106885
2024-04-01,117.73585755
2024-05-01,118.92725347
2024-06-01,119.83676818
2024-07-01,120.73941793
2024-08-01,121.81403271
2024-09-01,122.82846859
2024-10-01,123.57273763
2024-11-01,124.27002203
2024-12-01,124.85022959
2025-01-01,125.51110250
2025-02-01,126.16197286
2025-03-01,126.78953430
2025-04-01,127.16311818
2025-05-01,127.24420971
2025-06-01,127.49701567
2025-07-01,127.82600772
2025-08-01,127.87214541
2025-09-01,128.22465174
2025-10-01,128.66538687
2025-11-01,129.75284280
2025-12-01,129.87270506
2026-01-01,130.06003448
