date,value
2008-01-01,59.76863044
2008-02-01,59.98116743
2008-03-01,60.36249245
2008-04-01,60.89310324
2008-05-01,61.44756380
2008-06-01,62.11881598
2008-07-01,62.66844857
2008-08-01,62.98472038
2008-09-01,63.60836734
2008-10-01,64.53469146
2008-11-01,65.75137571
2008-12-01,66.77565828
2009-01-01,67.59468112
2009-02-01,68.43110202
2009-03-01,69.18292967
2009-04-01,69.92424088
2009-05-01,70.69597973
2009-06-01,71.52481671
2009-07-01,72.71125157
2009-08-01,74.14565939
2009-09-01,75.76542422
2009-10-01,77.27264796
2009-11-01,79.23196728
2009-12-01,81.05888377
2010-01-01,82.79647498
2010-02-01,84.36310343
2010-03-01,86.27556589
2010-04-01,88.64124435
2010-05-01,91.07353865
2010-06-01,93.86369509
2010-07-01,96.83490931
2010-08-01,100.00000000
2010-09-01,103.08158559
2010-10-01,106.23436435
2010-11-01,109.89343349
2010-12-01,113.17888472
2011-01-01,116.34400865
2011-02-01,119.55793815
2011-03-01,123.33691638
2011-04-01,127.41176711
2011-05-01,131.26533742
2011-06-01,135.20805612
2011-07-01,138.77027482
2011-08-01,142.20735418
2011-09-01,145.70123638
2011-10-01,148.50343133
2011-11-01,151.01853330
2011-12-01,152.67439560
2012-01-01,154.63697017
2012-02-01,156.63445994
2012-03-01,158.86243554
2012-04-01,161.13294827
2012-05-01,162.84525678
2012-06-01,164.49913024
2012-07-01,166.25891408
2012-08-01,168.32050773
2012-09-01,170.31272622
2012-10-01,172.23180932
2012-11-01,173.76291273
2012-12-01,175.57948733
2013-01-01,177.32552817
2013-02-01,179.62595732
2013-03-01,182.01648780
2013-04-01,184.27489400
2013-05-01,186.47641131
2013-06-01,189.01133258
2013-07-01,191.84539954
2013-08-01,194.09301048
2013-09-01,195.70972765
2013-10-01,197.46885622
2013-11-01,199.74230541
2013-12-01,202.29128214
2014-01-01,204.72263613
2014-02-01,206.94037791
2014-03-01,209.07367948
2014-04-01,210.46852182
2014-05-01,211.88449503
2014-06-01,212.66751721
2014-07-01,213.69218476
2014-08-01,214.68825949
2014-09-01,215.55754183
2014-10-01,216.30909757
2014-11-01,216.64541383
2014-12-01,217.56648186
2015-01-01,218.28679152
2015-02-01,218.96486829
2015-03-01,218.95939001
2015-04-01,219.04390799
2015-05-01,218.80791236
2015-06-01,218.82893861
2015-07-01,218.58139603
2015-08-01,217.80017160
2015-09-01,216.66533628
2015-10-01,215.70387153
2015-11-01,215.03194582
2015-12-01,214.61652855
2016-01-01,214.02085461
2016-02-01,213.78575963
2016-03-01,213.40159798
2016-04-01,212.76715943
2016-05-01,211.57098315
2016-06-01,210.93657729
2016-07-01,210.72012964
2016-08-01,210.34112082
2016-09-01,210.53641389
2016-10-01,210.61180738
2016-11-01,210.29776666
2016-12-01,210.16269262
2017-01-01,210.03524696
2017-02-01,209.93250156
2017-03-01,209.20261538
2017-04-01,208.36905173
2017-05-01,207.37003634
2017-06-01,206.35555699
2017-07-01,205.25355981
2017-08-01,204.16199981
2017-09-01,203.00674376
2017-10-01,202.04681233
2017-11-01,201.30474835
2017-12-01,200.81735705
2018-01-01,200.12443949
2018-02-01,199.45051393
2018-03-01,198.92432247
2018-04-01,198.51375342
2018-05-01,197.60146490
2018-06-01,196.76975098
2018-07-01,195.87368921
2018-08-01,195.50123956
2018-09-01,194.81753950
2018-10-01,194.28775932
2018-11-01,193.65482840
2018-12-01,193.60181910
2019-01-01,193.33525798
2019-02-01,193.48633525
2019-03-01,193.33310171
2019-04-01,193.38367973
2019-05-01,192.95270918
2019-06-01,192.44886664
2019-07-01,191.77782533
2019-08-01,191.09312675
2019-09-01,190.34693742
2019-10-01,190.02761417
2019-11-01,189.56236985
2019-12-01,189.23654536
2020-01-01,189.21131002
2020-02-01,189.36128163
2020-03-01,189.41930159
2020-04-01,189.69692192
2020-05-01,190.08648186
2020-06-01,189.93229097
2020-07-01,189.73566124
2020-08-01,189.69768460
2020-09-01,190.42422067
2020-10-01,191.16633706
2020-11-01,191.70286329
2020-12-01,192.27134837
2021-01-01,192.76907879
2021-02-01,193.24284792
2021-03-01,193.43250386
2021-04-01,193.74113765
2021-05-01,193.99292395
2021-06-01,194.29000270
2021-07-01,194.69958161
2021-08-01,195.09284262
2021-09-01,195.49156019
2021-10-01,195.73288203
2021-11-01,196.03716015
2021-12-01,196.42408942
2022-01-01,196.75726167
2022-02-01,197.12502159
2022-03-01,197.52586855
2022-04-01,198.09374704
2022-05-01,198.54382512
2022-06-01,199.08912336
2022-07-01,199.49995348
2022-08-01,200.02584768
2022-09-01,200.40819256
2022-10-01,200.59033842
2022-11-01,200.60342537
2022-12-01,200.74470247
2023-01-01,200.95036779
2023-02-01,201.30021926
2023-03-01,201.42820944
2023-04-01,201.86932736
2023-05-01,202.17601437
2023-06-01,202.38076879
