sector,date,n_assets,alert_level,sector_score,share_transition,share_unstable,mean_confidence,score_delta_5d,level_changes_30d,level_q70,level_q85,policy_used,action_tier,risk_budget_min,risk_budget_max,hedge_min,hedge_max,action_priority,action_reason
energy,2026-02-12,44,verde,0.5658666957244123,0.5681818181818182,0.045454545454545456,0.5512423515980603,-0.19955952943121857,5,0.8657885394458796,0.908845541799157,regime_entry_confirm,normal,0.8,0.9,0.09999999999999998,0.19999999999999996,0.09431818181818183,piora recente no setor
consumer_discretionary,2026-02-12,47,verde,0.4116150790604365,0.3404255319148936,0.0425531914893617,0.5879835789446535,-0.2549580437199439,1,0.8642752518802359,0.8926336027320284,regime_entry_confirm,normal,0.9,1.0,0.0,0.09999999999999998,0.05957446808510638,normal
real_estate,2026-02-12,36,verde,0.406837393635584,0.2777777777777778,0.05555555555555555,0.5384620714665954,-0.1750309766676561,1,0.9246188744632998,0.9648107887954778,regime_entry_confirm,normal,0.9,1.0,0.0,0.09999999999999998,0.05277777777777778,normal
utilities,2026-02-12,28,verde,0.38898102649973465,0.25,0.10714285714285714,0.6704045766078062,-0.39724137503075685,7,0.8940917114276016,0.9370450884358186,regime_entry_confirm,normal,0.8,0.9,0.09999999999999998,0.19999999999999996,0.05892857142857143,piora recente no setor
industrials,2026-02-12,94,verde,0.34264013931463233,0.24468085106382978,0.05319148936170213,0.6433996517134192,-0.3045941339008482,1,0.8671093657031841,0.9105506853075978,regime_entry_confirm,normal,0.9,1.0,0.0,0.09999999999999998,0.04734042553191489,normal
consumer_staples,2026-02-12,32,verde,0.33788458166321433,0.25,0.03125,0.6084135458419642,-0.17238477388108564,1,0.8298324180671882,0.8727079547764729,regime_entry_confirm,normal,0.9,1.0,0.0,0.09999999999999998,0.04375,normal
materials,2026-02-12,26,verde,0.32025863608927235,0.23076923076923078,0.038461538461538464,0.6416611020845114,-0.3637780026732575,0,0.8758693353947471,0.9147112213656324,regime_entry_confirm,normal,0.9,1.0,0.0,0.09999999999999998,0.04230769230769231,normal
financials,2026-02-12,55,verde,0.315067835172269,0.07272727272727272,0.12727272727272726,0.6396031393420547,-0.35768385448601403,1,0.9001767010588724,0.9314207137565458,regime_entry_confirm,normal,0.9,1.0,0.0,0.09999999999999998,0.03636363636363636,normal
technology,2026-02-12,56,verde,0.24325273719778007,0.19642857142857142,0.017857142857142856,0.7311538712912641,-0.3799764118086615,1,0.8665305691252033,0.9109754301832987,regime_entry_confirm,normal,0.9,1.0,0.0,0.09999999999999998,0.033035714285714286,normal
health_care,2026-02-12,42,verde,0.23090772644855473,0.16666666666666666,0.0,0.6727306838786131,-0.35634412209951016,1,0.8399401126654497,0.8830187534540737,regime_entry_confirm,normal,0.9,1.0,0.0,0.09999999999999998,0.024999999999999998,normal
