sector,drawdown_recall_l5,drawdown_precision_l5,drawdown_false_alarm_l5,drawdown_p_vs_random_l5,drawdown_p_vs_random_iid_l5,drawdown_p_vs_random_block_l5,ret_tail_recall_l5,ret_tail_precision_l5,n_assets,share_transition,share_unstable,mean_confidence,sector_score,eligible,n_assets_median_test,composite_score
health_care,0.1,0.1509433962264151,7.378009108653221,0.3,0.75,0.3,0.5,0.05660377358490566,42,0.16666666666666666,0.0,0.6727306838786131,0.23090772644855473,True,42.0,0.09206896551724136
industrials,0.2,0.18461538461538463,8.689655172413794,0.15,0.725,0.15,0.0,0.046153846153846156,94,0.24468085106382978,0.05319148936170213,0.6433996517134192,0.34264013931463233,True,94.0,0.0646419098143236
utilities,0.2,0.11666666666666667,8.689655172413794,0.1,0.725,0.1,0.0,0.0,28,0.25,0.10714285714285714,0.6704045766078062,0.38898102649973465,True,28.0,0.04643678160919543
technology,0.1,0.19230769230769232,6.886141834743007,0.35,0.75,0.35,0.0,0.038461538461538464,56,0.19642857142857142,0.017857142857142856,0.7311538712912641,0.24325273719778007,True,56.0,0.028446273960262253
financials,0.1,0.16666666666666666,8.197787898503579,0.5,0.9,0.5,0.0,0.03333333333333333,55,0.07272727272727272,0.12727272727272726,0.6396031393420547,0.315067835172269,True,55.0,0.009688787681630881
consumer_discretionary,0.1,0.10204081632653061,7.214053350683149,0.475,0.8,0.475,0.0,0.02040816326530612,47,0.3404255319148936,0.0425531914893617,0.5879835789446535,0.4116150790604365,True,47.0,0.005308446085005261
energy,0.1,0.12280701754385964,8.197787898503579,0.4,0.825,0.4,0.0,0.017543859649122806,44,0.5681818181818182,0.045454545454545456,0.5512423515980603,0.5658666957244123,True,46.0,-0.0006620895113515629
consumer_staples,0.0,0.14285714285714285,5.9024072869225765,1.0,1.0,1.0,0.0,0.0,32,0.25,0.03125,0.6084135458419642,0.33788458166321433,True,32.0,-0.030452644297797194
materials,0.0,0.12280701754385964,8.197787898503579,1.0,1.0,1.0,0.0,0.03508771929824561,26,0.23076923076923078,0.038461538461538464,0.6416611020845114,0.32025863608927235,True,26.0,-0.0539077035464393
real_estate,0.0,0.08974358974358974,11.640858815875083,1.0,1.0,1.0,0.0,0.01282051282051282,36,0.2777777777777778,0.05555555555555555,0.5384620714665954,0.406837393635584,True,36.0,-0.0971778189279816
